name,objra,objdec,Bars
manga-10217-3704,118.395673439,14.4733243477,1.0
manga-10217-6101,117.735046075,14.7678282599,0.0
manga-10217-6102,118.202222407,15.308880164,0.0
manga-10217-6103,117.993013365,15.7114103805,1.0
manga-10217-6104,119.503945958,14.9502274395,0.0
manga-10217-9101,118.831445476,14.4171184641,0.0
manga-10217-9102,118.843822108,15.0938929519,1.0
manga-10218-12701,117.857788969,16.6018406215,0.5
manga-10218-12702,117.76574,17.96273,0.5
manga-10218-12703,118.634242089,16.8097293987,0.25
manga-10218-12704,119.060993252,17.0202860988,0.5
manga-10218-12705,118.61245,16.2148,1.0
manga-10218-1901,118.034707037,17.9303045778,0.0
manga-10218-1902,119.207582307,17.3803033794,0.0
manga-10218-3701,117.587908107,17.169833722,1.0
manga-10218-3702,118.184498039,16.7095016652,0.0
manga-10218-3703,119.87865241,17.4914220335,0.5
manga-10218-3704,119.168808316,16.9201143063,0.5
manga-10218-6101,118.98443,16.65766,0.0
manga-10218-6102,119.036102953,17.3806654122,0.0
manga-10218-6103,118.637432363,18.3280658072,0.0
manga-10218-6104,119.63633689,17.9100412893,0.0
manga-10218-9101,118.25847,16.69089,0.0
manga-10218-9102,119.717877766,16.530712418,0.0
manga-10219-12701,124.804460255,20.757476218,0.5
manga-10219-12702,125.505931857,21.3428752484,0.5
manga-10219-12703,125.370195868,23.0663574577,0.5
manga-10219-12704,124.83882348,21.90942806,0.0
manga-10219-12705,125.967743522,21.4186635506,0.0
manga-10219-1901,125.14376637,21.1054663161,0.0
manga-10219-1902,125.062375384,21.0600550691,0.0
manga-10219-3701,125.631121621,20.967889239,0.0
manga-10219-3702,124.908695519,21.2853610145,0.0
manga-10219-3703,125.649814536,21.4649730541,0.0
manga-10219-3704,125.926883384,21.0614783374,0.0
manga-10219-6101,124.977875484,20.8620843186,0.0
manga-10219-6102,125.148697904,21.0677945565,0.0
manga-10219-6103,125.110457064,22.3843627261,0.0
manga-10219-6104,125.31674,21.46977,0.5
manga-10219-9101,125.084933497,21.1064124578,0.5
manga-10219-9102,125.343919429,20.9105383102,0.0
manga-10220-12701,120.348598309,32.8838040043,0.0
manga-10220-12702,120.489596539,33.1645908106,0.0
manga-10220-12703,121.130860827,33.8845068552,0.5
manga-10220-12704,122.540399375,33.8793464336,0.25
manga-10220-12705,120.550320326,32.3150512958,0.5
manga-10220-1901,120.805213561,33.132338795,0.0
manga-10220-1902,122.385466938,31.7035152057,0.0
manga-10220-3701,120.430507904,31.7266384397,0.0
manga-10220-3702,120.436461244,31.8383638274,0.0
manga-10220-3703,120.576629639,32.5355033875,0.0
manga-10220-3704,121.035948116,31.4369848051,0.0
manga-10220-6101,122.651546118,31.2946412174,0.0
manga-10220-6102,120.275641039,32.317343842,0.0
manga-10220-6103,120.576104212,32.602197839,0.5
manga-10220-6104,121.718144251,32.2503291927,0.0
manga-10220-9101,120.825871809,31.7763732335,1.0
manga-10220-9102,123.028099529,33.390861019,0.5
manga-10221-12701,121.62879509,23.7105033609,0.0
manga-10221-12702,123.530409854,23.7119154499,0.0
manga-10221-12703,124.05695,25.076,0.5
manga-10221-12704,124.18847,23.36659,0.0
manga-10221-12705,124.109635921,23.1425158913,0.0
manga-10221-1901,122.818541667,25.1798333333,0.25
manga-10221-1902,123.30674,24.60798,0.0
manga-10221-3701,123.70918848,24.002949613,0.5
manga-10221-3702,122.524674366,25.2888191999,0.0
manga-10221-3703,122.589216544,25.1222973718,0.0
manga-10221-3704,123.647377495,25.0695082117,0.0
manga-10221-6101,123.265271707,24.5581555942,1.0
manga-10221-6102,123.098008176,24.1159781368,0.0
manga-10221-6103,123.357514813,25.1269822349,0.0
manga-10221-6104,124.698297548,24.5374298193,1.0
manga-10221-9101,121.792855792,24.3892414957,0.0
manga-10221-9102,124.47296256,23.4721789379,0.0
manga-10222-12701,43.0975056849,-8.51039014523,0.0
manga-10222-12702,43.943883293,-8.40880774285,0.25
manga-10222-12703,44.4928741137,-6.69840791282,0.0
manga-10222-12704,43.1620244157,-7.3159057948,1.0
manga-10222-12705,45.1052926568,-8.27625811308,0.5
manga-10222-1901,44.7458039287,-7.30034111862,0.0
manga-10222-1902,45.1155381689,-7.30055506089,0.0
manga-10222-3701,43.3520007983,-8.87881317257,0.75
manga-10222-3702,43.0551098121,-6.76488596809,0.0
manga-10222-3703,43.5219976469,-7.34507071933,0.0
manga-10222-3704,44.5428346492,-8.95538297428,0.5
manga-10222-6101,42.326160518,-8.17494454345,0.0
manga-10222-6102,42.5538455207,-8.16393221643,0.0
manga-10222-6103,42.9848765783,-8.37704983026,0.75
manga-10222-6104,43.2150088708,-7.97165223202,0.25
manga-10222-9101,43.297016234,-7.53251485588,1.0
manga-10222-9102,44.1449456196,-7.11981395605,0.25
manga-10223-12701,31.81709,-1.01273,0.0
manga-10223-12702,32.3864687333,-0.999897937983,1.0
manga-10223-12703,32.8251959509,-0.980760023024,0.0
manga-10223-12704,33.2316,-0.46726,1.0
manga-10223-12705,33.2231013087,-0.908470876896,0.0
manga-10223-1901,31.4432289025,0.626055926871,0.0
manga-10223-1902,33.5076729586,-0.977438774843,0.25
manga-10223-3701,31.5666031749,-0.291437101791,0.0
manga-10223-3702,33.5246434178,-0.276961112728,0.0
manga-10223-3703,33.4762490468,0.448261788956,0.75
manga-10223-3704,33.6223942904,-0.767955133457,0.5
manga-10223-6101,32.4874800229,0.876408538366,1.0
manga-10223-6102,32.1500267146,0.458344136935,0.0
manga-10223-6103,31.487621624,0.773356454291,0.0
manga-10223-6104,31.9585996105,0.873067964001,0.0
manga-10223-9101,32.0648460388,1.19544160366,0.0
manga-10223-9102,31.9988521199,0.802526851078,0.0
manga-10224-12701,34.5070413038,-0.415554759167,0.5
manga-10224-12702,34.7499415182,-0.601735510346,1.0
manga-10224-12703,36.9643538512,0.501541369456,1.0
manga-10224-12704,34.7823838662,0.61302089918,0.5
manga-10224-12705,35.7594398414,-0.143668052616,0.0
manga-10224-1901,35.2350380375,1.03388151891,0.0
manga-10224-1902,37.1524983344,-0.246625627,0.0
manga-10224-3701,34.3991810957,-0.493589654998,0.0
manga-10224-3702,34.9213774441,-0.255640663023,0.5
manga-10224-3703,36.8819506631,0.877403370271,0.0
manga-10224-3704,35.418845091,0.255233152292,0.75
manga-10224-6101,34.8287929835,-0.820877062224,0.0
manga-10224-6102,35.1105896278,-0.312863777025,0.0
manga-10224-6103,34.478591916,0.251777142477,0.5
manga-10224-6104,35.6239396771,0.38268116579,1.0
manga-10224-9101,34.7485323693,0.330017800119,0.0
manga-10224-9102,35.1522021244,-0.380157724524,0.0
manga-10225-12701,37.4771197832,-0.167381683377,0.0
manga-10225-12702,37.3913006342,0.37325279653,1.0
manga-10225-12703,37.9307094692,0.293505774944,0.5
manga-10225-12704,37.5451998512,-0.648239013459,0.75
manga-10225-12705,36.9688026381,-1.15280687364,0.0
manga-10225-1902,37.5496070403,-0.59794219134,0.5
manga-10225-3701,37.0435879343,-1.05715345139,0.5
manga-10225-3703,37.5298354344,-0.723111692308,0.0
manga-10225-3704,37.9683313637,-0.279840490138,0.5
manga-10225-6101,37.4964499583,-0.598960098086,0.5
manga-10225-6102,35.9008347512,0.225713974118,0.5
manga-10225-6104,38.0490620926,0.224021539896,0.0
manga-10225-9101,37.7521626483,0.48231527431,1.0
manga-10225-9102,37.8902337877,0.756324689931,1.0
manga-10226-12701,38.0811947747,0.671967980186,0.0
manga-10226-12702,38.1001719357,-0.55207323206,0.75
manga-10226-12703,38.2536656642,0.674131504103,0.0
manga-10226-12704,38.2958339707,0.0673889679678,0.5
manga-10226-12705,37.93008,0.90429,0.0
manga-10226-1901,38.208945111,-0.3532912511,0.0
manga-10226-1902,38.197622053,0.678101681319,0.0
manga-10226-3701,37.997653039,0.748069852645,0.5
manga-10226-3702,38.1587047424,0.594245404121,1.0
manga-10226-3703,37.9355048883,-0.945542508084,0.0
manga-10226-3704,37.779258815,-1.10518325836,1.0
manga-10226-6101,37.94676,0.31183,0.0
manga-10226-6102,37.8695385427,-0.210313896642,0.0
manga-10226-6103,38.1251900222,0.233624615865,0.5
manga-10226-6104,38.2552043968,0.420819003951,0.5
manga-10226-9101,36.00555,0.252243,0.75
manga-10226-9102,38.2325320155,-0.131245004936,0.5
manga-10492-12701,123.338037496,57.852238539,0.75
manga-10492-12702,124.064089969,57.5305417333,0.5
manga-10492-12703,123.40504,58.1386,0.0
manga-10492-12704,123.322,58.01039,0.0
manga-10492-12705,125.453893616,56.2899230993,1.0
manga-10492-1901,123.321746651,58.3616274559,0.0
manga-10492-1902,123.686548781,58.2798468272,0.5
manga-10492-3701,122.414897071,57.5246917727,0.0
manga-10492-3702,122.608426505,57.7524232824,0.5
manga-10492-3703,124.182169128,58.4360546793,0.0
manga-10492-3704,124.067191853,57.1671902076,0.5
manga-10492-6101,123.717488293,55.610248053,0.0
manga-10492-6102,121.960564881,56.6934864581,0.75
manga-10492-6103,122.972980643,57.9518925517,0.0
manga-10492-6104,122.985123942,56.9790067546,0.75
manga-10492-9101,121.888906322,56.42572994,0.5
manga-10492-9102,124.062110011,57.7093321492,0.5
manga-10493-12701,121.230107529,52.070824218,0.5
manga-10493-12702,121.87594397,51.2938363047,0.0
manga-10493-12703,125.157167091,52.5183615196,0.0
manga-10493-12704,123.801,51.95655,0.0
manga-10493-12705,123.634296628,51.8848676438,0.5
manga-10493-1901,123.971469333,51.7625693845,0.0
manga-10493-1902,124.327366784,52.029915216,0.0
manga-10493-3701,122.854276586,52.5303806741,0.0
manga-10493-3702,122.628173694,53.0055708528,0.0
manga-10493-3703,123.442645039,52.8654606206,0.5
manga-10493-3704,126.015363581,51.9043309231,0.75
manga-10493-6101,121.839452201,51.9156860618,0.0
manga-10493-6102,122.560230731,51.8725480581,0.0
manga-10493-6103,123.431728264,52.9606166229,0.0
manga-10493-6104,124.546178511,52.4524343005,0.0
manga-10493-9101,121.807476863,51.1547899704,0.5
manga-10493-9102,122.353247822,52.4793907969,0.5
manga-10494-12701,126.358455793,53.9689342469,0.5
manga-10494-12702,124.516048563,54.61908305,0.0
manga-10494-12703,123.648009414,55.1443120905,0.0
manga-10494-12704,125.388260894,55.1519680813,0.0
manga-10494-12705,126.132757726,54.853889824,0.25
manga-10494-1901,123.71533674,55.0938054648,0.0
manga-10494-1902,123.288183201,54.6374161301,0.0
manga-10494-3701,126.179179705,54.2242363566,0.0
manga-10494-3702,123.361510012,55.2263795045,0.5
manga-10494-3703,124.12820127,55.2976316461,0.0
manga-10494-3704,126.349894378,54.8392990909,0.0
manga-10494-6101,123.255280115,54.5211784944,0.5
manga-10494-6102,124.924098232,54.6272766082,0.0
manga-10494-6103,124.666914025,55.437998958,0.0
manga-10494-6104,125.253570622,55.2002119839,0.0
manga-10494-9101,124.017452682,55.3945436861,0.0
manga-10494-9102,124.339174229,55.3405265396,1.0
manga-10495-12701,123.967317732,46.6951874734,0.25
manga-10495-12702,125.177974875,47.321728197,0.0
manga-10495-12703,125.786334999,48.6194340881,0.0
manga-10495-12704,124.272419897,48.312047545,1.0
manga-10495-12705,126.435741189,47.7842618758,0.0
manga-10495-1901,123.153847541,48.1818124916,0.5
manga-10495-1902,124.541864559,47.3564477818,0.0
manga-10495-3701,125.069472444,46.872648741,0.0
manga-10495-3702,123.208230955,47.4426484048,0.0
manga-10495-3703,125.287570599,47.2773820655,0.75
manga-10495-3704,126.273855021,47.1543864972,0.0
manga-10495-6101,124.681368815,47.0492168183,0.0
manga-10495-6102,125.038784864,47.1906485842,0.25
manga-10495-6103,123.555574453,48.1381757363,0.0
manga-10495-6104,125.092317444,47.2275658799,0.0
manga-10495-9101,123.106993469,47.5425831348,1.0
manga-10495-9102,125.963282432,46.9951697594,0.0
manga-10496-12701,124.672202647,40.1362967073,0.0
manga-10496-12702,123.801912144,41.2146716573,0.5
manga-10496-12703,124.448303599,41.9828522195,0.0
manga-10496-12704,125.4594,41.876266,0.5
manga-10496-12705,124.220085992,41.7318089828,0.5
manga-10496-1901,125.233090842,41.1343286135,0.25
manga-10496-1902,126.648895962,41.0849826648,1.0
manga-10496-3701,124.832414972,41.5126774791,0.0
manga-10496-3702,124.081460465,41.7162393192,0.0
manga-10496-3703,125.527645553,41.5090793057,0.0
manga-10496-3704,126.821278181,41.0539307444,0.5
manga-10496-6101,125.28949893,39.6983789266,0.0
manga-10496-6102,123.1017,40.74327,0.5
manga-10496-6103,123.782607871,41.0995597522,0.0
manga-10496-6104,126.502393896,40.9811149677,0.0
manga-10496-9101,123.412080564,41.3650343423,0.0
manga-10496-9102,125.059232699,40.6668030187,0.0
manga-10497-12701,120.552154912,17.0770126535,0.5
manga-10497-12702,121.603963221,17.4176863151,0.0
manga-10497-12703,122.328820666,18.4044035397,0.5
manga-10497-12704,121.785677653,18.1352579577,0.0
manga-10497-12705,122.584892059,17.3236659723,0.0
manga-10497-1901,120.624689523,17.2847333146,0.0
manga-10497-1902,121.031796067,16.8189101394,0.0
manga-10497-3701,120.509273694,17.0407292337,0.0
manga-10497-3702,121.556031306,17.7065695158,0.0
manga-10497-3703,121.733213717,18.2226071136,0.0
manga-10497-3704,121.579814334,17.5949376008,0.0
manga-10497-6101,119.991192222,17.8478429307,0.0
manga-10497-6102,120.734295412,17.4446093878,0.0
manga-10497-6103,121.50481,18.0446,0.0
manga-10497-6104,121.757862988,17.377321327,0.0
manga-10497-9101,121.281217231,16.9463967838,0.0
manga-10497-9102,122.516968896,17.2685486855,0.0
manga-10498-12701,130.344592968,26.0558038456,0.0
manga-10498-12702,131.292796969,25.9615954263,0.5
manga-10498-12703,131.538189994,27.9718175611,0.0
manga-10498-12704,131.779074365,27.8736050542,0.0
manga-10498-12705,131.91742988,25.8935181005,0.25
manga-10498-1901,131.778791667,28.2381666667,0.0
manga-10498-1902,130.320095018,27.6593145248,0.0
manga-10498-3701,130.717401412,25.6426974315,0.25
manga-10498-3702,130.15087223,27.8765302312,0.0
manga-10498-3703,130.307516597,27.9077931283,0.0
manga-10498-3704,130.52191634,26.0032951287,0.5
manga-10498-6101,129.747018952,26.1369907096,0.5
manga-10498-6102,130.419072839,25.8077692717,0.0
manga-10498-6103,131.224975242,27.7189998538,0.0
manga-10498-6104,131.347630209,27.8227390348,1.0
manga-10498-9101,131.388044838,26.3229108889,0.75
manga-10498-9102,131.253369695,27.789092888,0.0
manga-10499-12701,131.316486298,27.8237705482,1.0
manga-10499-12702,131.635231215,29.598723238,0.0
manga-10499-12703,133.518891903,29.053541333,0.0
manga-10499-12704,133.194773314,28.9246728351,0.5
manga-10499-12705,132.75026555,29.1819477423,0.5
manga-10499-1901,130.92217926,28.6230365601,0.0
manga-10499-1902,132.363315088,29.5199725497,0.0
manga-10499-3701,131.704957687,28.171321961,0.0
manga-10499-3702,131.7875648,29.7822905787,0.5
manga-10499-3703,131.891694458,29.7394833513,0.5
manga-10499-3704,132.952546253,29.2795096001,0.5
manga-10499-6101,131.301983738,29.3062359704,0.0
manga-10499-6102,132.043573752,29.4913800312,0.0
manga-10499-6103,131.667639677,29.8665472166,0.5
manga-10499-6104,133.029478706,28.836791388,0.0
manga-10499-9101,131.618258599,30.1260238321,0.0
manga-10499-9102,131.709178102,28.4172240721,0.0
manga-10500-12701,135.135252659,31.8546141274,0.0
manga-10500-12702,137.18220229,30.8913341778,0.0
manga-10500-12703,137.160232544,32.5929527283,0.0
manga-10500-12704,136.273978462,32.6223799199,0.0
manga-10500-12705,137.223188476,32.2530361675,0.0
manga-10500-1901,137.254288396,32.2830609227,0.25
manga-10500-1902,136.329300358,31.1879508847,0.0
manga-10500-3701,137.123136732,30.4442362163,0.0
manga-10500-3702,135.250302834,31.0906963419,0.5
manga-10500-3703,136.638779932,31.1899702229,0.5
manga-10500-3704,136.695913625,30.1213070348,0.0
manga-10500-6101,134.891919348,30.9173760946,0.0
manga-10500-6102,135.233760471,31.141427444,0.5
manga-10500-6103,135.694804542,32.7751067114,0.0
manga-10500-6104,137.517781358,31.6385345992,0.25
manga-10500-9101,135.463503293,32.6232185749,0.0
manga-10500-9102,136.566433745,30.0538638655,0.0
manga-10501-12701,131.831279784,31.1817694003,0.5
manga-10501-12702,132.50773,30.46509,0.0
manga-10501-12703,133.472084382,32.3234951157,1.0
manga-10501-12704,134.04909,31.13202,0.0
manga-10501-12705,133.81502,30.17275,0.0
manga-10501-1901,132.661769501,30.1753550033,0.0
manga-10501-1902,134.581291082,31.1220886599,0.75
manga-10501-3701,132.617773996,31.9227775286,0.25
manga-10501-3702,132.984954253,32.3237442366,0.0
manga-10501-3703,134.076923727,32.1396679964,0.0
manga-10501-3704,134.741027883,31.0486329529,0.5
manga-10501-6101,133.034451573,29.6936802776,0.5
manga-10501-6102,134.591835176,30.3332563579,0.5
manga-10501-6103,131.799213683,31.1500771028,0.75
manga-10501-6104,135.042768502,30.3879673342,0.0
manga-10501-9101,132.915014479,30.8176195587,0.0
manga-10501-9102,134.071654521,30.6842871612,0.25
manga-10502-12701,130.689313997,29.3999745195,0.5
manga-10502-12702,129.522360354,30.7431893571,0.0
manga-10502-12703,130.35032109,30.704596391,0.5
manga-10502-12704,130.397244212,30.1042879902,0.0
manga-10502-12705,131.726442305,29.8841845988,1.0
manga-10502-1901,128.88773883,30.5342859223,0.0
manga-10502-1902,129.664878443,29.1910728368,0.25
manga-10502-3701,129.006286353,30.2664131455,0.0
manga-10502-3702,129.452756852,29.7822801768,0.0
manga-10502-3703,129.557033588,30.557926553,0.0
manga-10502-3704,131.012528298,31.1355790596,0.0
manga-10502-6101,129.880958911,29.1539338336,0.0
manga-10502-6102,130.159410362,30.1687378296,0.0
manga-10502-6103,130.526005689,30.8200517243,0.75
manga-10502-6104,130.652997759,30.4925027956,0.0
manga-10502-9101,130.155042426,30.6619408267,0.0
manga-10502-9102,131.112683046,30.6368488193,0.0
manga-10503-12701,158.92625,5.61596,1.0
manga-10503-12702,159.529601439,4.89434523822,0.0
manga-10503-12703,160.228870157,5.99188959885,0.0
manga-10503-12704,159.388140747,5.62861946749,0.5
manga-10503-12705,159.777613019,5.20977271614,0.25
manga-10503-1901,159.347124818,5.43852867885,0.0
manga-10503-1902,159.715467649,5.67009532172,0.75
manga-10503-3701,159.191568719,5.55445097147,0.0
manga-10503-3702,159.136150602,5.55676086143,1.0
manga-10503-3703,160.02053,5.46299,0.0
manga-10503-3704,160.073915951,5.35919758465,0.0
manga-10503-6101,160.448323626,4.98838463578,0.0
manga-10503-6102,160.170142369,5.19446407546,0.5
manga-10503-6103,160.011996046,5.68531316197,0.0
manga-10503-6104,160.624198661,5.08341979677,0.25
manga-10503-9101,159.911353877,5.17571483446,0.0
manga-10503-9102,159.873811674,5.79539516713,0.5
manga-10504-12701,140.442994624,33.311152222,0.5
manga-10504-12702,139.242408147,34.6673709796,0.0
manga-10504-12703,142.172723745,35.1711149762,0.0
manga-10504-12704,140.944129258,35.483400571,0.25
manga-10504-12705,139.929094807,33.8110097873,0.0
manga-10504-1901,139.67831082,33.9430635442,0.0
manga-10504-1902,139.35101715,34.6743750684,0.0
manga-10504-3701,139.685412592,33.731179621,0.0
manga-10504-3702,140.538152909,33.9008709164,0.0
manga-10504-3703,141.816811969,34.4272257572,0.0
manga-10504-3704,139.895143044,33.8880918144,0.0
manga-10504-6101,139.842334457,33.6034325119,0.0
manga-10504-6102,139.940148373,33.7200831799,0.0
manga-10504-6103,140.243037252,34.8622843992,0.0
manga-10504-6104,141.58094013,35.0977875591,0.0
manga-10504-9101,139.863835136,33.790894966,0.0
manga-10504-9102,139.484314392,34.5093229347,0.0
manga-10505-12701,138.742506511,32.7895428219,0.5
manga-10505-12702,140.254934107,33.1266639802,0.0
manga-10505-12703,140.338303755,33.6913230263,0.25
manga-10505-12704,139.764735719,33.3927993748,0.5
manga-10505-12705,140.490953661,33.0063678594,0.0
manga-10505-1901,139.032468072,32.8921736022,0.0
manga-10505-1902,140.845540619,33.0096632723,0.0
manga-10505-3701,139.387878713,33.1404150861,0.0
manga-10505-3702,139.744263485,34.1337528421,0.0
manga-10505-3703,139.398625606,33.6538331262,0.0
manga-10505-3704,139.760590695,33.6952085624,0.0
manga-10505-6101,139.44474563,32.4682850091,0.0
manga-10505-6102,139.945261377,33.7497574966,0.0
manga-10505-6103,139.049813433,34.1840568055,0.0
manga-10505-6104,140.727721732,33.1420123614,0.0
manga-10505-9101,139.493862242,32.6466511919,0.0
manga-10505-9102,139.773678218,33.9300709859,0.0
manga-10506-12701,138.412900123,34.5699546428,1.0
manga-10506-12702,139.48427,34.50929,0.0
manga-10506-12703,140.52167475,35.425001529,0.5
manga-10506-12704,139.137845221,35.1612821691,0.0
manga-10506-12705,139.719135496,34.5157623756,0.5
manga-10506-1901,139.572004562,34.1605505581,0.0
manga-10506-1902,140.200244771,33.6796906424,0.0
manga-10506-3701,139.68319157,34.3783079587,0.0
manga-10506-3702,139.635710549,35.0017126398,0.75
manga-10506-3703,140.097594825,35.2415446686,0.0
manga-10506-3704,139.730380859,34.0346570561,0.0
manga-10506-6101,139.646760758,33.8680022735,0.75
manga-10506-6102,139.170274836,34.4476237339,0.75
manga-10506-6103,139.747776878,34.8622083028,0.75
manga-10506-6104,139.752061147,35.060122038,0.0
manga-10506-9101,138.439157382,34.8373372527,0.0
manga-10506-9102,139.668605439,34.680832064,0.0
manga-10507-12701,175.576863407,49.3336595363,0.0
manga-10507-12702,176.156100873,47.3873494785,0.0
manga-10507-12703,178.17795,48.98408,0.5
manga-10507-12704,177.942740193,48.4752389198,0.0
manga-10507-12705,175.697423482,48.8197855859,0.75
manga-10507-1901,176.811177026,49.1852575817,0.0
manga-10507-3701,174.714344313,48.087648304,0.0
manga-10507-3702,175.95596285,47.5279470924,0.0
manga-10507-3703,177.396591297,47.8312219274,0.0
manga-10507-3704,177.46221206,47.4446862742,0.0
manga-10507-6101,174.588123583,47.4373649095,0.0
manga-10507-6102,176.891257481,47.6969124951,0.0
manga-10507-6103,176.858100105,49.1384939324,0.75
manga-10507-6104,176.288580951,49.7187540186,0.0
manga-10507-9101,176.325380982,49.5704404009,0.5
manga-10507-9102,178.121855495,48.4589210594,1.0
manga-10508-12701,182.027687739,52.3391185232,1.0
manga-10508-12702,182.880864787,51.8634562239,0.0
manga-10508-12703,184.652029473,51.4147324232,0.5
manga-10508-12704,183.883908009,51.9130382422,0.0
manga-10508-12705,184.871439931,51.7759257611,1.0
manga-10508-1901,182.829852384,50.5880078324,0.0
manga-10508-1902,180.980700649,50.8727225612,0.0
manga-10508-3701,182.32913011,50.9370778723,0.0
manga-10508-3703,183.204134464,52.9033000181,0.0
manga-10508-3704,182.273026767,51.417038812,0.0
manga-10508-6101,183.371989926,50.7415293109,0.0
manga-10508-6102,181.36829764,51.4799396339,0.0
manga-10508-6103,183.263994977,51.6485972672,0.0
manga-10508-6104,183.575710733,52.9413010253,0.5
manga-10508-9101,180.868184509,51.7155799645,0.0
manga-10508-9102,183.38826,52.30109,0.0
